Ticker,Company Name,Brokerage,Action,Current Price,Price Target,Rating
SWTX,SpringWorks Therapeutics,20241120000000,61.03,,Analyst C. Kasimov,Outperform
HE,Hawaiian Electric Industries,20241119000000,10.895,,-,In-Line -> In-Line
ERII,Energy Recovery,20241119000000,15.49,,-,Outperform -> Outperform
BNTX,BioNTech,20241119000000,117.565,,Analyst C. Kasimov,In-Line -> Outperform
TSCO,Tractor Supply,20241115000000,57.755,,Analyst O. Wintermantel,Hold -> Strong-Buy
WMT,Walmart,20241118000000,97.252,,-,Overweight -> Overweight
DIS,Walt Disney,20241118000000,110.099,,-,Outperform -> Outperform
POST,Post,20241118000000,114.7,,-,Outperform -> Outperform
PANW,Palo Alto Networks,20241118000000,198.75,,-,Outperform -> Outperform
INGM,Ingram Micro,20241118000000,23.5,,Analyst A. Daryanani,Inline
DG,Dollar General,20241115000000,75.002,,-,Hold -> Hold
AMAT,Applied Materials,20241115000000,175.819,,-,Outperform -> Outperform
DRH,DiamondRock Hospitality,20241115000000,8.535,,Analyst D. Pfennigwerth,Outperform -> Inline
AXTA,Axalta Coating Systems,20241112000000,37.055,,Analyst E. Boyes,Strong-Buy
JXN,Jackson Financial,20241114000000,84.968,,Analyst T. Gallagher,In-Line -> Underperform
UNM,Unum Group,20241114000000,74.282,,Analyst T. Gallagher,In-Line -> Outperform
